,hspt_name,url,depth,text,date
0,나누리수원병원,http://sw.nanoori.co.kr/nonsurgical/nerve,1,비수술,200406
1,나누리수원병원,http://sw.nanoori.co.kr/nonsurgical/physical,1,특수물리치료,200406
2,나누리수원병원,http://sw.nanoori.co.kr/nonsurgical/exercise,1,운동치료,200406
3,나누리수원병원,http://sw.nanoori.co.kr/nonsurgical/electromyogram,1,근전도 검사,200406
0,뿌리병원,http://www.ppuricj.co.kr/nonsurgery/nonsurgery01_02.html,1,비수술치료클리닉,200406
1,뿌리병원,http://www.ppuricj.co.kr/nonsurgery/new_nonsurgery01_02.html,1,경막외 신경성형술,200406
2,뿌리병원,http://www.ppuricj.co.kr/nonsurgery/new_nonsurgery01_04.html,1,내시경 고주파 수핵 성형술,200406
3,뿌리병원,http://www.ppuricj.co.kr/nonsurgery/new_nonsurgery01_07.html,1,통증유발점주사,200406
5,뿌리병원,http://www.ppuricj.co.kr/nonsurgery/new_nonsurgery01_09.html,1,바이오 콜라겐 주사,200406
2,바로병원,http://www.baro119.co.kr/sub/page/company/1/3,1,의료진소개,200406
6,바로병원,http://www.baro119.co.kr/sub/page/medical/2/1,1,진료안내,200406
7,바로병원,http://www.baro119.co.kr/sub/page/medical/2/4,1,인터넷서류발급,200406
8,바로병원,http://www.baro119.co.kr/sub/page/joint/3/1,1,관절치료센터,200406
9,바로병원,http://www.baro119.co.kr/sub/page/joint/3/2,1,관절비수술치료,200406
10,바로병원,http://www.baro119.co.kr/sub/page/joint/3/3,1,관절강화운동,200406
11,바로병원,http://www.baro119.co.kr/sub/page/joint/3/5,1,관절질환,200406
12,바로병원,http://www.baro119.co.kr/sub/page/spine/4/1,1,척추,200406
13,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2,1,척추비수술치료,200406
14,바로병원,http://www.baro119.co.kr/sub/page/spine/4/3,1,척추강화운동,200406
16,바로병원,http://www.baro119.co.kr/sub/page/special/5/2,1,척추측만증클리닉,200406
17,바로병원,http://www.baro119.co.kr/sub/page/special/5/3,1,하지정맥클리닉,200406
18,바로병원,http://www.baro119.co.kr/sub/page/special/5/4,1,무수혈 수술,200406
20,바로병원,http://www.baro119.co.kr/sub/page/screening/6/2,1,종합검진센터,200406
21,바로병원,http://www.baro119.co.kr/sub/page/screening/6/3,1,체외진단다지표검사,200406
23,바로병원,http://www.baro119.co.kr/sub/page/joint/3/1/1,1,무릎인공관절,200406
24,바로병원,http://www.baro119.co.kr/sub/page/joint/3/1/2,1,어깨인공관절,200406
25,바로병원,http://www.baro119.co.kr/sub/page/joint/3/1/3,1,발목인공관절,200406
26,바로병원,http://www.baro119.co.kr/sub/page/joint/3/1/4,1,관절내시경,200406
27,바로병원,http://www.baro119.co.kr/sub/page/joint/3/1/5,1,자기연골보존,200406
29,바로병원,http://www.baro119.co.kr/sub/page/joint/3/2/1,1,무릎,200406
30,바로병원,http://www.baro119.co.kr/sub/page/joint/3/2/2,1,어깨,200406
31,바로병원,http://www.baro119.co.kr/sub/page/joint/3/2/3,1,팔꿈치,200406
32,바로병원,http://www.baro119.co.kr/sub/page/joint/3/2/4,1,손목,200406
33,바로병원,http://www.baro119.co.kr/sub/page/joint/3/2/5,1,고관절,200406
34,바로병원,http://www.baro119.co.kr/sub/page/joint/3/2/6,1,발목,200406
35,바로병원,http://www.baro119.co.kr/sub/page/joint/3/5/2,1,어깨,200406
37,바로병원,http://www.baro119.co.kr/sub/page/joint/3/5/4,1,족부,200406
0,바로병원,http://www.baro119.co.kr/sub/page/spine/4/1/1,1,현미경레이져디스크수술,200406
1,바로병원,http://www.baro119.co.kr/sub/page/spine/4/1/2,1,척추고정술,200406
2,바로병원,http://www.baro119.co.kr/sub/page/spine/4/1/3,1,인공디스크수술,200406
3,바로병원,http://www.baro119.co.kr/sub/page/spine/4/1/5,1,척추변형고정술,200406
4,바로병원,http://www.baro119.co.kr/sub/page/spine/4/1/4,1,고관절인공관절,200406
5,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2/7,1,신경근성형술 #END,200406
6,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2/1,1,FIMS,200406
7,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2/2,1,고주파수액감압술,200406
8,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2/3,1,4無 신경성형술,200406
9,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2/4,1,신경차단술,200406
10,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2/5,1,심부근육강화운동,200406
11,바로병원,http://www.baro119.co.kr/sub/page/spine/4/2/6,1,3D 도수치료요법,200406
2,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=yeshospital_01,1,에이스병원 안내,200406
3,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=yeshospital_02,1,의료진 소개,200406
8,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_01_5,1,진료센터,200406
9,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_02_7,1,척추센터,200406
10,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_03,1,족부센터,200406
12,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_05_2,1,비수술치료,200406
13,에이스병원,http://www.acehospital.co.kr/bbs/board.php?bo_table=review,1,치료후기,200406
14,에이스병원,http://www.acehospital.co.kr/bbs/board.php?bo_table=notice,1,에이스병원 이야기,200406
15,에이스병원,http://www.acehospital.co.kr/bbs/board.php?bo_table=movie,1,바르고 건강하게,200406
16,에이스병원,http://www.acehospital.co.kr/bbs/board.php?bo_table=article,1,언론 속 에이스병원,200406
18,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_01,1,무릎 줄기세포 치료,200406
19,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_01_2,1,인공관절 치환술,200406
21,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_01_4,1,관절내시경 수술,200406
22,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_02,1,인공디스크 치환술,200406
23,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_02_3,1,미세 현미경 디스크 제거술,200406
24,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_02_4,1,미세 현미경 경추 유합술,200406
25,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_02_5,1,인공인대(연성) 고정술,200406
26,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_02_6,1,최소침습 척추 고정술,200406
27,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_03_2,1,발목연골손상,200406
29,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_04_2,1,심장 초음파 검사,200406
30,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_04_3,1,대장내시경 검사,200406
31,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_04_4,1,소화기 내과,200406
32,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_04_5,1,성인 예방접종,200406
35,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_05_3,1,체계적인 건강치료,200406
37,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_05_5,1,체외충격파치료,200406
38,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=center_05_6,1,초음파유도중재시술,200406
39,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=provision,1,이용약관,200406
40,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=privacy,1,개인정보처리(취급)방침,200406
41,에이스병원,http://www.acehospital.co.kr/bbs/content.php?co_id=guideline,1,영상정보처리기기운영 관리지침,200406
