병원코드,병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
11205008,연세사랑병원,병실료차액,상급병실료차액,,,,"190,000",,,AB9000,1인실,,,
11206551,연세건우병원,FLOSEAL,투약 및 주사료,,,,"₩800,000",,,646601401,,,,
11206551,연세건우병원,네큐팜주사액(40mg/4ml)(네포팜염산염)-하나제약,투약 및 주사료,,,,"₩16,606",,,657805301,,무통주사 약제,,
11206551,연세건우병원,로우칼정,투약 및 주사료,,,,₩161,,,649500530,,,,
11206551,연세건우병원,로우칼캡슐,투약 및 주사료,,,,₩161,,,649500540,,,,
11206551,연세건우병원,마데카솔케어연고 10g,투약 및 주사료,,,,"₩8,000",,,653401640,,,,
11206551,연세건우병원,말린다주,투약 및 주사료,,,,"₩50,000~100,000",,,653102550,,용량에 따라,,
11206551,연세건우병원,멀티플렉스페리주,투약 및 주사료,,,,"₩70,000",,,645101360,,,,
11206551,연세건우병원,비엠하이디주(비급여)-(주)한국비엠아이,투약 및 주사료,,,,"₩35,000",,,654802250,,비타민D제,,
11206551,연세건우병원,삼진 타우로린 주,투약 및 주사료,,,,"₩150,000~160,500",,,647801080,,,,
11206551,연세건우병원,아미노헥스주,투약 및 주사료,,,,"₩35,000",,,645103490,,,,
11206551,연세건우병원,환의,기타,,,,"₩30,000",,,,,"상하 각 15,000",,
11206551,연세건우병원,액티피드정,투약 및 주사료,,,,₩100,,,643900900,,,,
11206551,연세건우병원,에이티피주,투약 및 주사료,,,,"₩25,000~27,000",,,648203850,,,,
11206551,연세건우병원,"유니레이필드주사액10ml ,15ml(조영제)",투약 및 주사료,,,,"₩100,000",,,653402791,,급여인정기준외,,
11206551,연세건우병원,이지에프 새살연고,투약 및 주사료,,,,"₩40,000",,,641604660,,,,
11206551,연세건우병원,카티스템,투약 및 주사료,,,,"₩7,000,000",,,622900010,,,,
11206551,연세건우병원,카티젤겔,투약 및 주사료,,,,"₩10,000",,,684900011,,,,
11206551,연세건우병원,트레스탄캅셀 (비급여),투약 및 주사료,,,,₩500,,,647802340,,,,
11206551,연세건우병원,프로실연고,투약 및 주사료,,,,"₩60,000~65,000",,,BM5001SH,,,,
11206551,연세건우병원,플라센텍스,투약 및 주사료,,,,"₩50,000~100,000",,,662800060,,,,
11206551,연세건우병원,하이디알주(10) (비급여) (주)한국비엠아이,투약 및 주사료,,,,"₩100,000",,,654802270,,,,
11206551,연세건우병원,하이디알주(15) (비급여) (주)한국비엠아이,투약 및 주사료,,,,"₩150,000",,,654802270,,,,
11206551,연세건우병원,후시딘 연고 10g,투약 및 주사료,,,,"₩7,000",,,642703970,,,,
11206616,목동힘찬병원,비주요 비급여 검색된 자료가 없습니다.,,,,,비주요 비급여 검색된 자료가 없습니다.,,,,,,,
11206616,목동힘찬병원,,,신장분사치료,행위/기타,,,"100,000","100,000",MZ0070000,(특) 신장분사치료,,,
11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"240,000","240,000",SZ0840000,ESWT(체외충격파치료-양측)-두부위  2000타,,,
11206616,목동힘찬병원,,,체외충격파치료〔근골격계질환〕,행위/기타,,,"180,000","180,000",SZ0840000,ESWT(체외충격파치료-양측)-두부위 1500타,,,
