Unnamed: 0,hspt_name,url,depth,text,date,
0,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/전체,200327,
1,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/예방접종,200327,
2,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/주사약제,200327,
3,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/PCA자가통증조절기,200327,
4,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/진정내시경 환자관리료,200327,
5,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/재활및물리치료료,200327,
6,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/시술/수술료,200327,
7,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/처치재료,200327,
8,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/수술재료,200327,
9,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/이화학검사료,200327,
10,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/통증검사,200327,
11,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/기능검사,200327,
12,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/초음파검사,200327,
13,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/MRI(조영제별도),200327,
14,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/증명료,200327,
15,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/상급병실료,200327,
16,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/구급차사용료,200327,
17,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/검진료,200327,
18,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/보조기료,200327,
19,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/식대료,200327,
20,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/CT,200327,
21,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/reservationPop.close(),,
22,튼튼병원,http://www.djtntn.com/sub/sub1/sub_1_1.php,1,튼튼병원/병원소개,200327,
23,튼튼병원,http://www.djtntn.com/sub/sub1/sub_1_2.php,1,튼튼병원/의료진소개,200327,
24,튼튼병원,http://www.djtntn.com/sub/sub1/sub_1_3.php,1,튼튼병원/의료장비소개,200327,
25,튼튼병원,http://www.djtntn.com/sub/sub1/sub_1_4_3.php,1,튼튼병원/병원둘러보기,200327,
26,튼튼병원,http://www.djtntn.com/sub/sub1/sub_1_5.php,1,튼튼병원/찾아오시는길,200327,
27,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_1.php,1,튼튼병원/진료안내,200327,
28,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/reservationPop.open(),,
29,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,튼튼병원/비급여안내,200327,
30,튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_4.php,1,튼튼병원/서류발급안내,200327,
31,튼튼병원,http://www.djtntn.com/sub/sub3/sub_3_1.php,1,튼튼병원/척추센터,200327,
32,튼튼병원,http://www.djtntn.com/sub/sub3/sub_3_2.php,1,튼튼병원/경추관협착증,200327,
33,튼튼병원,http://www.djtntn.com/sub/sub3/sub_3_3.php,1,튼튼병원/거북목증후군,200327,
