Unnamed: 0,hspt_name,url,depth,text,date
129.0,연세사랑병원,http://www.yonserang.com/template/etc/non_pay_guide.php,1,연세사랑병원/비급여진료비이용안내,200320
143.0,연세건우병원,http://www.healthyfriend.co.kr/introduce/be,1,연세건우병원/-비급여,200320
407.0,바른세상병원,https://www.barunsesang.co.kr/guide/unlnsuraList.php,1,바른세상병원/비급여 진료비안내,200320
582.0,나누리수원병원,http://sw.nanoori.co.kr/policy/policy4,1,나누리수원병원/비급여진료비조회,200320
594.0,안산21세기병원,http://www.ansan21.com/guide/article/index.php,1,안산21세기병원/비급여항목,200320
805.0,뿌리병원,http://www.ppuricj.co.kr/info/info05.html,1,뿌리병원/비급여 안내,200320
864.0,연세본사랑병원(舊.연세사랑병원),http://www.bucheon-yonserang.com/template/etc/non_pay_guide.php,1,연세본사랑병원(舊.연세사랑병원)/비급여진료비이용안내,200320
878.0,바로병원,http://www.baro119.co.kr/bbs/board.php?bo_table=medical3,1,바로병원/비급여항목,200320
1117.0,달려라병원,http://www.hospitalrun.co.kr/rule/no-insure,1,달려라병원/비급여고지,200320
1164.0,의료법인 토마스의료재단 윌스기념병원,https://anyspine.co.kr/hosp/hosp05.html,1,의료법인 토마스의료재단 윌스기념병원/비급여 진료비 안내,200320
1175.0,에이스병원,http://www.acehospital.co.kr/yes/non_list.php,1,에이스병원/비급여,200320
1280.0,최경진정형외과의원,http://www.foothospital.co.kr/content/content.asp?FolderName=sub05&filename=sub05_07,1,최경진정형외과의원/비급여항목 현황표,200320
1288.0,최경진정형외과의원,http://www.foothospital.co.kr/Module/MBoard/MBoard.asp?Gubun=1&Srno=157990&PState=View,1,최경진정형외과의원/비급여 안내,200320
1318.0,부산본병원,http://www.bonhospital.co.kr/notice/nonpay/index.jsp,1,부산본병원/비급여안내,200320
1404.0,강남베드로병원,http://www.goodspine.org/content/content.asp?FolderName=community&fileName=community_08,1,강남베드로병원/비급여 내역,200320
1487.0,예손병원,https://www.yesonhospital.com/page.php?pageIndex=120108,1,예손병원/비급여안내,200320
1540.0,메트로병원,http://www.metrohosp.com/sub01/0701.php,1,메트로병원/비급여진료수가고지,200320
1671.0,강북연세병원,http://www.ysloves.com/template/etc/non_pay_guide.php,1,강북연세병원/비급여진료비이용안내,200320
1700.0,의료법인 장산의료재단이춘택병원,http://www.lct.co.kr/sub02/sub0207.php,1,의료법인 장산의료재단이춘택병원/비급여안내,200320
1786.0,국제나은병원,https://www.naeunhospital.com/bbs/board.php?bo_table=affc&p=foot&s=2,1,국제나은병원/비급여진료비 비용안내,200320
1813.0,굿닥터튼튼병원,http://www.tntnhospital.com/sub/sub0504.php?category=행위료,1,굿닥터튼튼병원/비급여 안내,200320
1861.0,고도일병원,https://www.godoil.com/guide/guide07.php,1,고도일병원/비급여현황,200320
1992.0,예스병원,http://www.yespine.co.kr/guide/page05.html?cate1=1&cate2=1,1,예스병원/비급여 진료비 안내,200320
2068.0,예스병원,http://www.yespine.co.kr/member/nonpay.html?cate1=1&cate2=1,1,예스병원/비급여진료비안내,200320
2073.0,대한민국정형외과병원,http://xn--vb0bjir1m4wkq9m1kcz50bnkb.kr/?page_id=768,1,대한민국정형외과병원/비급여항목,200320
2091.0,참포도나무병원,https://www.champodonamu.com/info/info04.php,1,참포도나무병원/비급여안내,200320
2187.0,세흥병원,http://www.sehunghospital.co.kr/sub/treatment/treat05.php?menu=5,1,세흥병원/비급여진료비안내,200320
2237.0,세흥병원,http://www.sehunghospital.co.kr/sub/treatment/treat05.html?menu=5,1,세흥병원/비급여진료비안내,200320
2353.0,휴병원,http://www.hu-hospital.co.kr/kr/index.php?pCode=nopayitem,1,휴병원/비급여안내,200320
2374.0,휴병원,http://www.hu-hospital.co.kr/kr/?pCode=nopayitem,1,휴병원/비급여안내,200320
2412.0,안강병원,http://www.ahnkang.com/bbs/content.php?id=i02,1,안강병원/비급여항목,200320
2444.0,더블유병원,http://www.w-hospital.co.kr/front/guide/index.php?sn=04,1,더블유병원/선택진료·비급여진료비 안내,200320
2487.0,더블유병원,http://www.w-hospital.co.kr/front/guide/price.php?sn=04,1,더블유병원/비급여진료비 목록,200320
2664.0,평택21세기병원,http://www.pyeongtaek21.com/page/1_7.php,1,평택21세기병원/비급여공지,200320
2783.0,더열린병원,http://www.theopen-daegu.co.kr/doc/m_info4.php,1,더열린병원/비급여공지,200320
2872.0,힘내라병원,https://www.himnaera.co.kr/info/info06.html,1,힘내라병원/비급여 진료비 고지,200320
2888.0,한미병원,http://www.hanmihospital.com/index.php?mid=certificate,1,한미병원/증명서 발급/비급여 안내 ,200320
2956.0,서울제이에스병원,http://www.seouljs.co.kr/default/info/sub_4.php,1,서울제이에스병원/비급여안내,200320
3088.0,평촌우리병원,https://www.woorijoint.com/begupyeo.php,1,평촌우리병원/비급여진료비안내,200320
3098.0,글로벌튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,글로벌튼튼병원/비급여안내,200320
3248.0,광명 새움병원,http://www.gmsaeum.com/bbs/board.php?bo_table=s0205,1,광명 새움병원/비급여항목리스트,200320
3273.0,사회복지법인 여수애양병원,http://www.wlc.or.kr/content/content.asp?FolderName=clinic&filename=treat_info,1,사회복지법인 여수애양병원/비급여내역,200320
3308.0,연세나무병원,http://www.yonseinamu.net/guide/guide_04.php,1,연세나무병원/비급여 안내,200320
3389.0,척시원병원,http://www.conehs.co.kr/PayBoard/PayBoard.asp,1,척시원병원/비급여수가안내,200320
3482.0,광주새우리병원,http://www.saewoori.com/sub03/sub0306-1.php,1,광주새우리병원/비급여수가안내,200320
3559.0,우리병원,https://www.swoori.com/default/customer/sub8.php,1,우리병원/비급여파일,200320
3586.0,바른마디병원,http://www.barunjoint.com/information/index.php,1,바른마디병원/비급여안내,200320
3684.0,더드림병원,http://www.the-dreamhospital.com/bbs/board.php?bo_table=sub02_03,1,더드림병원/비급여안내,200320
3725.0,안산튼튼병원,http://www.astntn.com/bbs/board.php?bo_table=sub02_06,1,안산튼튼병원/비급여 안내,200320
3827.0,여수백병원,http://www.100hosp.co.kr/customer/price11.html?dep1=6&dep2=6-6,1,여수백병원/비급여고지,200320
3840.0,여수백병원,http://www.100hosp.co.kr/customer/price11.html?dep1=6&dep2=6-7,1,여수백병원/비급여고지,200320
