병원명,명칭,분류,소분류,중분류,중복컬럼_1,비용,최저비용,최고비용,코드,구분,특이사항,약제비포함여부,치료재료대포함여부
안산21세기병원,232 애니탈 삼중정-비급여(성인1일/3회/2정씩),,,,,500,0,0,650201670,,,,
안산21세기병원,액티피드정 60mg(삼일)-비급여,,,,,100,0,0,643900900,,,,
안산21세기병원,리큐어 현탁액 20g/1포(대원제약),,,,,2500,0,0,671805330,,,,
안산21세기병원,233 베아제정(대웅)-비급여/1회1정 투여,,,,,250,0,0,641601460,,,,
안산21세기병원,삐콤정(유한),,,,,100,0,0,642100700,,,,
안산21세기병원,둘코락스에스정(비급여)-베링거,,,,,1000,0,0,653501140,,,,
안산21세기병원,트레스탄캅셀-삼진,,,,,1000,0,0,647802340,,,,
안산21세기병원,트라우밀 정,,,,,1500,0,0,651300320,,,,
안산21세기병원,(원내만 가능) 실덤스카겔 15g,,,,,45000,0,0,BM5001ZD,,,,
안산21세기병원,마데카솔케어연고(동국),,,,,15000,0,0,653401640,,,,
안산21세기병원,이지에프새살연고 10g,,,,,30000,0,0,641604660,,,,
안산21세기병원,쎄레스톤지 크림15g(유한),,,,,4000,0,0,647501480,,,,
안산21세기병원,오라메디연고10 g(동국),,,,,10000,0,0,653400790,,,,
안산21세기병원,(332)spongostan 70*50*10-존슨앤존슨,,,,,80000,0,0,650800260,,,,
안산21세기병원,프록토세딜 연고15g-1회용(한독),,,,,5000,0,0,652101560,,,,
안산21세기병원,(721)옴니스캔주 15ml-MRI,,,,,100000,0,0,646300051,,,,
안산21세기병원,슈프라민주 250ml-영양제,,,,,50000,0,0,비급여,,,,
안산21세기병원,아미닉 200Ml-(한올),,,,,100000,0,0,655602770,,,,
안산21세기병원,유박스 B 프로필드주-간염예방접종,,,,,20000,0,0,668900920,,,,
안산21세기병원,하브릭스 1ml(A형간염백신),,,,,80000,0,0,650001800,,,,
안산21세기병원,노자임캡슐-비급여,,,,,1400,0,0,659900010,,,,
안산21세기병원,에티피에스주,,,,,25000,0,0,645905980,,,,
안산21세기병원,독감인플루엔자 4가 0.5ml(SK),,,,,30000,0,0,644704380,,,,
안산21세기병원,훼렉스 주사,,,,,50000,0,0,622801630,,,,
안산21세기병원,MYDERM,,,,,2100000,0,0,BST01079,,,,
안산21세기병원,조스타박스주(대상포진생바이러스백신),,,,,200000,0,0,655500900,,,,
안산21세기병원,프리베나 주13 -폐렴예방접종,,,,,150000,0,0,646500430,,,,
안산21세기병원,Neo Dermal Activator-백암,,,,,35000,0,0,BM5002RQ,,,,
안산21세기병원,말린다주(히알루로니다제),,,,,50000,0,0,653102550,,,,
안산21세기병원,(112)덱스메딘주 2ml,,,,,65000,0,0,657805981,,,,
안산21세기병원,Cd Copy,,,,,10000,0,0,,,,,
안산21세기병원,체외충격파(양측),이학요법료,,,,80000,0,0,SZ084,,양측,,
안산21세기병원,장해진단서,,,,,100000,0,0,,,,,
안산21세기병원,병무용진단서,,,,,20000,0,0,,,,,
안산21세기병원,병무용진단서-사본,,,,,1000,0,0,,,,,
안산21세기병원,상해진단서3주미만,,,,,50000,0,100000,,,,,
안산21세기병원,상해진단서3주이상,,,,,100000,0,150000,,,,,
안산21세기병원,"소견조회 등 회신-자보,산재",,,,,10000,0,0,,,,,
안산21세기병원,진료기록부 사본 6매이상(1장당),,,,,100,0,0,,,,,
안산21세기병원,상해진단서-사본,,,,,1000,0,0,,,,,
안산21세기병원,진료확인서-수술확인서,,,,,3000,0,3000,,,,,
안산21세기병원,장애진단서,,,,,15000,0,0,,,,,
안산21세기병원,장애진단서-동사무소 청구용,,,,,15000,0,0,,,,,
안산21세기병원,입원확인서,,,,,1000,0,0,,,,,
안산21세기병원,향후치료비추정서1000만원이상,,,,,100000,0,0,,,,,
안산21세기병원,향후치료비추정서1000만원미만,,,,,50000,0,0,,,,,
안산21세기병원,보험사서식소견서,,,,,10000,0,0,,,,,
안산21세기병원,국민연금장애심사용 진단서,,,,,10000,0,15000,,,,,
안산21세기병원,통원확인서,,,,,1000,0,3000,,,,,
안산21세기병원,"입,퇴원확인서-사본",,,,,1000,0,0,,,,,
안산21세기병원,진료확인서,,,,,1000,0,0,,,,,
안산21세기병원,진료비상세내역 요청-보험회사(10장),,,,,10000,0,0,,,,,
안산21세기병원,진료비상세내역 요청-보험회사 10장이후 장당,,,,,1000,0,0,,,,,
안산21세기병원,소견조회 등 회신,,,,,10000,0,0,,,,,
안산21세기병원,수술확인서(사본),,,,,1000,0,0,,,,,
안산21세기병원,후유장애진단서,,,,,100000,0,0,,,,,
안산21세기병원,후유장애진단서-사본,,,,,1000,0,0,,,,,
안산21세기병원,근로능력평가용진단서,,,,,10000,0,0,,,,,
안산21세기병원,일반진단서(부본),,,,,1000,0,0,,,,,
안산21세기병원,일반진단서,,,,,10000,0,20000,,,,,
안산21세기병원,PRODISC-L-SM,,,,,7500000,0,0,BF0005AT,,,,
안산21세기병원,진료기록부 사본 1-5매(1장당),,,,,1000,0,0,,,,,
안산21세기병원,영문 소견서,,,,,20000,0,0,,,,,
안산21세기병원,영문진단서,,,,,20000,0,0,,,,,
안산21세기병원,영문진단서-사본,,,,,1000,0,0,,,,,
안산21세기병원,장해진단서 부본,,,,,50000,0,0,,,,,
안산21세기병원,진료확인서(부본)-보험회사제출용,,,,,1000,0,0,,,,,
안산21세기병원,"일반진단서(보험사서식,장애진단표기시)",,,,,50000,0,0,,,,,
안산21세기병원,일반구급차 기본요금 -10km이내,,,,,30000,0,0,,,,,
안산21세기병원,일반구급차 기본요금 -10km초과 1km당 추가,,,,,1000,0,0,,,,,
안산21세기병원,Discocerv-SM(최대2 level 인정),,,,,5500000,0,0,BF0001DB,,,,
안산21세기병원,Loop Fixing-SM,,,,,1320000,0,0,BF0001IA,,,,
안산21세기병원,PRODISC-C -SM(최대2 level 인정),,,,,5500000,0,0,BF0004AT,,,,
안산21세기병원,Baguera- C -GS,,,,,5500000,0,0,BF0003GZ,,,,
안산21세기병원,Prolotheraphy(P)-사지관절,,,,,100000,0,0,MY142,,,,
안산21세기병원,Xgen Graft 1cc-H-one,,,,,650000,0,0,BC0105ED,,,,
안산21세기병원,Xgen Graft 3cc -H-one,,,,,1400000,0,0,BC0105ED,,,,
안산21세기병원,플로실-DS 메드텍,,,,,750000,0,0,646601400,,,,
안산21세기병원,Intraspine-SM,,,,,3800000,0,0,BF0401WQ,,,,
안산21세기병원,BMAC 2-미라,,,,,3000000,0,0,BL6051UM,,,,
안산21세기병원,Hylofast- 미라,,,,,2000000,0,0,BL6052UM,,,,
안산21세기병원,도수운동치료(2부위),이학요법료,,,,70000,0,0,MX122,,,,
안산21세기병원,전기수술기용 전극KJ400.KJ401.KJ402.KJ403-SM,,,,,1600000,0,0,BF0201OB,,,,
안산21세기병원,Osteosparx C 3cc (DBM)-태산,,,,,1500000,0,0,BC0103IE,,,,
안산21세기병원,Bio Eden Peek Cage III-한시적,,,,,400000,0,0,한시적,,,,
안산21세기병원,Hibarry-유착방지제,,,,,900000,0,0,BF0101VT,,,,
안산21세기병원,Eden Fuse DBM 3cc-케이텍,,,,,1500000,0,0,BC0107ED,,,,
안산21세기병원,Needleview CH-SM,,,,,2800000,0,0,BJ4803XU,,,,
안산21세기병원,Dermabond,창상보합용액상접착제,,,,120000,0,0,BB3004EE,,,,
안산21세기병원,젠타큐(GENTA Q),,,,,550000,0,0,BM5302VT,,,,
안산21세기병원,Demios 2.5cc- DBM,,,,,1500000,0,0,BC0101KJ,,,,
안산21세기병원,Pd-An(KJ401)-SM,,,,,1600000,0,0,BF0201OB,,,,
안산21세기병원,Eden Spinal Fixation System II Rod,,,,,150000,0,0,한시적,,,,
안산21세기병원,Bio BMP2 1cc-심플메드,,,,,1600000,0,0,BC0301BU,,,,
안산21세기병원,Osteosparx C 1cc (DBM)-태산,,,,,700000,0,0,BC0103IE,,,,
안산21세기병원,환의(상하),,,,,16500,0,0,비급여,,,,
안산21세기병원,Diced Mega Fill - ES,,,,,200000,0,0,BTT01022,,,,
안산21세기병원,Demios 1cc- DBM,,,,,700000,0,0,BC0101KJ,,,,
안산21세기병원,Cartifill - 연골조직수복용(이건메디칼),,,,,2500000,0,0,BM2621RA,,,,
안산21세기병원,INION S-1 Plate(새움메디텍),,,,,1100000,0,0,BF0701BP,,,,
안산21세기병원,Eden Spinal Fixation System II Screw,,,,,500000,0,0,한시적,,,,
안산21세기병원,Dermabond PRINEO,창상보합용액상접착제,,,,250000,0,0,BB3006EE,,,,
안산21세기병원,INION S-1 Screw(새움메디텍),,,,,600000,0,0,BF0801BP,,,,
안산21세기병원,Sure Fuse DBM 3cc,,,,,1500000,0,0,BC0103ED,,,,
안산21세기병원,Allocover Had-나노테크,,,,,2100000,0,0,BTS01114,,,,
안산21세기병원,Spinaut-SM,,,,,600000,0,0,BJ4801UN,,,,
안산21세기병원,Navicath Steerable Catheter,,,,,700000,0,0,BJ4801ZO,,,,
안산21세기병원,Fora-B-H-one,,,,,1400000,0,0,BJ4805RA,,,,
안산21세기병원,Cervical-St .Cox -SM,,,,,600000,0,0,BJ4802RA,,,,
안산21세기병원,소변기(남성용),,,,,5000,0,0,비급여,,,,
안산21세기병원,대변기(PVC),,,,,5000,0,0,비급여,,,,
안산21세기병원,Zetuvit E (15*20),,,,,8500,0,0,BM5003JK,,,,
안산21세기병원,Secuex,,,,,1500,0,0,BM5001GA,,,,
안산21세기병원,소프트칼라(Soft Collar),,,,,15000,0,0,20242,,,,
안산21세기병원,팔걸이(소아),,,,,3000,0,0,비급여,,,,
안산21세기병원,팔걸이(성인),,,,,5000,0,0,VM061,,,,
안산21세기병원,팔자 붕대 -보조기,,,,,20000,0,0,VM062,,,,
안산21세기병원,벨포밴드,,,,,35000,0,0,VM061,,,,
안산21세기병원,케어픽스-S,,,,,150000,0,0,BC1201NR,,,,
안산21세기병원,hot pack(대)-환자 갖고 감,,,,,25000,0,0,비급여,,,,
안산21세기병원,Ice Bag -환자 갖고 감,,,,,30000,0,0,비급여,,,,
안산21세기병원,filter syringe -심플메드,,,,,1000,0,0,BM1304VH,,,,
안산21세기병원,LMA Supreme -마취과,,,,,100000,0,0,BK4201QL,,,,
안산21세기병원,CEB ldeal Bandage(10cm*5m),,,,,50000,0,0,BK7101IK,,,,
안산21세기병원,New Opsite post -op 10*20cm,,,,,7500,0,0,BM5013CD,,,,
안산21세기병원,New Opsite post -op 10*25cm,,,,,7500,0,0,BM5013CD,,,,
안산21세기병원,New Opsite post -op 5*6.5cm,,,,,2500,0,0,BM5013CD,,,,
안산21세기병원,New Opsite post -op 8.5*9.5cm,,,,,4500,0,0,BM5013CD,,,,
안산21세기병원,New Opsite post -op 8.5*15.5cm,,,,,7500,0,0,BM5013CD,,,,
안산21세기병원,SUPERPORE (5*7),,,,,1000,0,0,BM5007BL,,,,
안산21세기병원,SUPERPORE (6*9),,,,,3000,0,0,BM5001BL,,,,
안산21세기병원,SUPERPORE (9*12),,,,,3500,0,0,BM5003BL,,,,
안산21세기병원,SUPERPORE (9*15),,,,,4000,0,0,BM5004BL,,,,
안산21세기병원,SUPERPORE(9*20),,,,,5000,0,0,BM5005BL,,,,
안산21세기병원,SUPERPORE(9*25),,,,,6000,0,0,BM5006BL,,,,
안산21세기병원,SUPERPORE (9*30),,,,,8000,0,0,BM5008BL,,,,
안산21세기병원,SUPERPORE (9*35),,,,,9000,0,0,BM5009BL,,,,
안산21세기병원,SUPERPORE (9*9),,,,,3000,0,0,BM5002BL,,,,
안산21세기병원,체내형범용 프로브,,,,,100000,0,0,BL9001BY,,,,
안산21세기병원,Dressing Kit,,,,,2000,0,0,BM5101WI,,,,
안산21세기병원,NAFIX PLUS IV,,,,,6000,0,0,BJ1002PL,,,,
안산21세기병원,NAFIX Foly Guard(전규격),,,,,10000,0,0,BJ1004PL,,,,
안산21세기병원,Colar Cast Shoes,,,,,12000,0,0,VM070,,,,
