,Unnamed: 0,Unnamed: 0.1,hspt_name,url,depth,text,date
0,0.0,129.0,연세사랑병원,http://www.yonserang.com/template/etc/non_pay_guide.php,1,연세사랑병원/비급여진료비이용안내,200318
1,1.0,143.0,연세건우병원,http://www.healthyfriend.co.kr/introduce/be,1,연세건우병원/-비급여,200318
2,2.0,402.0,바른세상병원,https://www.barunsesang.co.kr/guide/unlnsuraList.php,1,바른세상병원/비급여 진료비안내,200318
3,3.0,728.0,뿌리병원,http://www.ppuricj.co.kr/info/info05.html,1,뿌리병원/비급여 안내,200318
4,4.0,762.0,바로병원,http://www.baro119.co.kr/bbs/board.php?bo_table=medical3,1,바로병원/비급여항목,200318
5,5.0,996.0,달려라병원,http://www.hospitalrun.co.kr/rule/no-insure,1,달려라병원/비급여고지,200318
6,6.0,1056.0,의료법인 토마스의료재단 윌스기념병원,http://www.allspine.com/hosp/hosp05.html,1,의료법인 토마스의료재단 윌스기념병원/비급여 진료비 안내,200318
7,7.0,1067.0,에이스병원,http://www.acemedi.com/system/hpbbs/board.php?bo_table=medico,1,에이스병원/비급여진료비안내,200318
8,8.0,1175.0,최경진정형외과의원,http://www.foothospital.co.kr/content/content.asp?FolderName=sub05&filename=sub05_07,1,최경진정형외과의원/비급여항목 현황표,200318
9,9.0,1183.0,최경진정형외과의원,http://www.foothospital.co.kr/Module/MBoard/MBoard.asp?Gubun=1&Srno=157990&PState=View,1,최경진정형외과의원/비급여 안내,200318
10,10.0,1213.0,부산본병원,http://www.bonhospital.co.kr/notice/nonpay/index.jsp,1,부산본병원/비급여안내,200318
11,11.0,1299.0,강남베드로병원,http://www.goodspine.org/content/content.asp?FolderName=community&fileName=community_08,1,강남베드로병원/비급여 내역,200318
12,12.0,1383.0,예손병원,https://www.yesonhospital.com/page.php?pageIndex=120108,1,예손병원/비급여안내,200318
13,13.0,1500.0,강북연세병원,http://www.ysloves.com/template/etc/non_pay_guide.php,1,강북연세병원/비급여진료비이용안내,200318
14,14.0,1529.0,의료법인 장산의료재단이춘택병원,http://www.lct.co.kr/sub02/sub0207.php,1,의료법인 장산의료재단이춘택병원/비급여안내,200318
15,15.0,1614.0,국제나은병원,https://www.naeunhospital.com/bbs/board.php?bo_table=affc&p=foot&s=2,1,국제나은병원/비급여진료비 비용안내,200318
16,16.0,1641.0,굿닥터튼튼병원,http://www.tntnhospital.com/sub/sub0504.php?category=행위료,1,굿닥터튼튼병원/비급여 안내,200318
17,17.0,1689.0,고도일병원,https://www.godoil.com/guide/guide07.php,1,고도일병원/비급여현황,200318
18,18.0,1819.0,예스병원,http://www.yespine.co.kr/guide/page05.html?cate1=1&cate2=1,1,예스병원/비급여 진료비 안내,200318
19,19.0,1895.0,예스병원,http://www.yespine.co.kr/member/nonpay.html?cate1=1&cate2=1,1,예스병원/비급여진료비안내,200318
20,20.0,1900.0,대한민국정형외과병원,http://xn--vb0bjir1m4wkq9m1kcz50bnkb.kr/?page_id=768,1,대한민국정형외과병원/비급여항목,200318
21,21.0,1918.0,참포도나무병원,https://www.champodonamu.com/info/info04.php,1,참포도나무병원/비급여안내,200318
22,22.0,2014.0,세흥병원,http://www.sehunghospital.co.kr/sub/treatment/treat05.php?menu=5,1,세흥병원/비급여진료비안내,200318
23,23.0,2064.0,세흥병원,http://www.sehunghospital.co.kr/sub/treatment/treat05.html?menu=5,1,세흥병원/비급여진료비안내,200318
24,24.0,2165.0,휴병원,http://www.hu-hospital.co.kr/kr/index.php?pCode=nopayitem,1,휴병원/비급여안내,200318
25,25.0,2186.0,휴병원,http://www.hu-hospital.co.kr/kr/?pCode=nopayitem,1,휴병원/비급여안내,200318
26,26.0,2224.0,안강병원,http://www.ahnkang.com/bbs/content.php?id=i02,1,안강병원/비급여항목,200318
27,27.0,2256.0,더블유병원,http://www.w-hospital.co.kr/front/guide/index.php?sn=04,1,더블유병원/선택진료·비급여진료비 안내,200318
28,28.0,2299.0,더블유병원,http://www.w-hospital.co.kr/front/guide/price.php?sn=04,1,더블유병원/비급여진료비 목록,200318
29,29.0,2475.0,평택21세기병원,http://www.pyeongtaek21.com/page/1_7.php,1,평택21세기병원/비급여공지,200318
30,30.0,2594.0,더열린병원,http://www.theopen-daegu.co.kr/doc/m_info4.php,1,더열린병원/비급여공지,200318
31,31.0,2683.0,힘내라병원,https://www.himnaera.co.kr/info/info06.html,1,힘내라병원/비급여 진료비 고지,200318
32,32.0,2699.0,한미병원,http://www.hanmihospital.com/index.php?mid=certificate,1,한미병원/증명서 발급/비급여 안내 ,200318
33,33.0,2767.0,서울제이에스병원,http://www.seouljs.co.kr/default/info/sub_4.php,1,서울제이에스병원/비급여안내,200318
34,34.0,2899.0,평촌우리병원,https://www.woorijoint.com/begupyeo.php,1,평촌우리병원/비급여진료비안내,200318
35,35.0,2909.0,글로벌튼튼병원,http://www.djtntn.com/sub/sub2/sub_2_3.php,1,글로벌튼튼병원/비급여안내,200318
